
                                 BALANTA SINTETICA
           A OBIECTELOR DE INVENTAR PENTRU PERIOADA  01/01/2026 - 23/01/2026


                            PERIOADA:  01/01/2026 - 23/01/2026             pagina:    1
                                                                                          
  -  -   -  -   -                                                                         
|---------------------|----------------|----------------|----------------|----------------|
|    SIMBOL CONT      | SOLD PRECEDENT |     DEBIT      |     CREDIT     |       SOLD     |
|---------------------|----------------|----------------|----------------|----------------|
|205.00.00.01.01.03   |       110415.91|           0.00 |           0.00 |      110415.91 |
|211                  |      7876140.83|           0.00 |           0.00 |     7876140.83 |
|211.01.00.01.01.04   |      7866275.06|           0.00 |           0.00 |     7866275.06 |
|211.02.00.01.02      |         7902.50|           0.00 |           0.00 |        7902.50 |
|211.02.00.01.03      |         1963.27|           0.00 |           0.00 |        1963.27 |
|213                  |     53347463.06|           0.00 |           0.00 |    53347463.06 |
|213.01.00.01.02.25.07|       907622.14|           0.00 |           0.00 |      907622.14 |
|213.01.00.01.02.28.04|      8814963.03|           0.00 |           0.00 |     8814963.03 |
|213.01.00.02.14.04   |       101457.79|           0.00 |           0.00 |      101457.79 |
|213.01.00.02.22.04   |        52681.28|           0.00 |           0.00 |       52681.28 |
|213.01.00.02.22.11   |        65585.43|           0.00 |           0.00 |       65585.43 |
|213.01.00.02.24.04   |       325836.67|           0.00 |           0.00 |      325836.67 |
|213.01.00.02.25.03   |        43704.00|           0.00 |           0.00 |       43704.00 |
|213.01.00.02.25.10   |     40995845.51|           0.00 |           0.00 |    40995845.51 |
|213.01.00.02.25.12   |       735274.00|           0.00 |           0.00 |      735274.00 |
|213.01.00.02.28.10   |         7384.90|           0.00 |           0.00 |        7384.90 |
|213.01.01.00.02.25.04|        19496.00|           0.00 |           0.00 |       19496.00 |
|213.02.00.02.10.01   |        13198.52|           0.00 |           0.00 |       13198.52 |
|213.03.00.01.02.10   |      1264413.79|           0.00 |           0.00 |     1264413.79 |
|214                  |      1215007.78|           0.00 |           0.00 |     1215007.78 |
|214.00.00.02.01.03   |         1221.68|           0.00 |           0.00 |        1221.68 |
|214.00.00.02.01.11   |      1213786.10|           0.00 |           0.00 |     1213786.10 |
|602.04               |         8602.25|           0.00 |           0.00 |        8602.25 |
|602.04.02            |         8602.25|           0.00 |           0.00 |        8602.25 |
|602.04.02.05.25.00.02|         8602.25|           0.00 |           0.00 |        8602.25 |
|---------------------|----------------|----------------|----------------|----------------|
|   TOTAL GENERAL     |     62557629.83|           0.00 |           0.00 |    62557629.83 |
|---------------------|----------------|----------------|----------------|----------------|

























|---------------------|----------------|----------------|----------------|----------------|
                                                                                23/01/2026