                                                                          BALANTA ANALITICA
                                                          A MIJLOACELOR FIXE PENTRU PERIOADA  01/12/2012 - 31/12/2012


 214                    MOBILIER SI APARATURA BIROTICA                                                        
  -  -   -  -   -                                                                                                            PERIOADA:  01/12/2012 - 31/12/2012            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|    1|  300005| COPIATOR N3715                          | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      11913.35 |          0.00 |          0.00 |      11913.35 |
|    2|  300020| MICROCALCULATOR TIP 2 CD 496 /1         | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1396.01 |          0.00 |          0.00 |       1396.01 |
|    3|  300021| MICROCALCULATOR TIP2 CD 496 /2          | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1396.01 |          0.00 |          0.00 |       1396.01 |
|    4|  300022| MICROCALCULATOR  TIP2 CD 496/3          | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1396.01 |          0.00 |          0.00 |       1396.01 |
|    5|  300023| MICROCALCULATOR TIP2 CD 496 /4          | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1396.01 |          0.00 |          0.00 |       1396.01 |
|    6|  300024| MICROCALCULATOR TIP2 CD 496/5           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1396.01 |          0.00 |          0.00 |       1396.01 |
|    7|  300025| MICROCALCULATOR TIP2 CD 496/6           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1396.01 |          0.00 |          0.00 |       1396.01 |
|    8|  300026| MICROCALCULATOR TIP2 CD 496/7           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1396.01 |          0.00 |          0.00 |       1396.01 |
|    9|  300027| MICROCALCULATOR TIP2 CD 496             | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1396.01 |          0.00 |          0.00 |       1396.01 |
