                                                                          BALANTA ANALITICA
                                                          A OBIECTELOR DE INVENTAR PENTRU PERIOADA  01/01/2026 - 14/01/2026


                                                                                                              
 INFORMAT/TRANSMIS. -  -  INFO/TRANSM.ADMINIST -  -   -                                                                      PERIOADA:  01/01/2026 - 14/01/2026            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|    1|  300075| SISTEM CALCUL P4                        | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2666.51 |          0.00 |          0.00 |       2666.51 |
|    2|  300082| SISTEM CALCUL P4/3                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3819.16 |          0.00 |          0.00 |       3819.16 |
|    3|  300096| COMPLET RETEA                           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      27451.34 |          0.00 |          0.00 |      27451.34 |
|    4|  300112| COMPUTER ALPIS INTEL CORE 2 QUAD/3      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3860.82 |          0.00 |          0.00 |       3860.82 |
|    5|  300113| COMPUTER ALPIS INTEL CORE 2 QUAD/4      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3860.82 |          0.00 |          0.00 |       3860.82 |
|    6|  300130| CALCULATOR OFFICE POWER TIP OP-31/16    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2587.24 |          0.00 |          0.00 |       2587.24 |
|    7|  300131| CALCULATOR OFFICE POWER TIP OP-31/17    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2587.24 |          0.00 |          0.00 |       2587.24 |
|    8|  300132| SISTEM DE MANAG.INFORM.MEDICAL LOC.PITES| bucati     | FOLOS.  |    1     |    0     |    0     |    1     |     187943.31 |          0.00 |          0.00 |     187943.31 |
|    9|  300133| LAPTOP SONY VAIO                        | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3002.97 |          0.00 |          0.00 |       3002.97 |
|   10|  300134| LAPTOP SONY VAIO.                       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3002.97 |          0.00 |          0.00 |       3002.97 |
|   11|  300141| HP SERVER WIN SRV 2012                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      27989.00 |          0.00 |          0.00 |      27989.00 |
|   12|  300142| PRODUS INFORM.SAL.NR.2464-647,426MB     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |         20.00 |          0.00 |          0.00 |         20.00 |
|   13|  300143| LICENTA EXTRAMED-FOAIE DE OBSERVATIE    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      12400.00 |          0.00 |          0.00 |      12400.00 |
|   14|  300144| LICENTA EXTRAMED-LABORATOR              | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      12400.00 |          0.00 |          0.00 |      12400.00 |
|   15|  300145| LICENTA EXTRAMED-XFARM                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      12400.00 |          0.00 |          0.00 |      12400.00 |
|   16|  300146| LICENTA EXTRAMED-XDECONT                | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      12400.00 |          0.00 |          0.00 |      12400.00 |
|   17|  300147| LICENTA EXTRAMED-MARKETING              | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      12400.00 |          0.00 |          0.00 |      12400.00 |
|   18|  300148| LICENTE PROFESIONAL DESKTOP TIPE        | bucati     | FOLOS.  |    53    |    0     |    0     |    53    |      39619.62 |          0.00 |          0.00 |      39619.62 |
|   19|  300149| LICENTE WINDOWS7 STANDARD 2012          | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1369.99 |          0.00 |          0.00 |       1369.99 |
|   20|  300150| COMPLET ROUTER TIP4 SI TELEFON IP       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       4668.40 |          0.00 |          0.00 |       4668.40 |
|   21|  300151| COMPLET ROUTER TIP 4 SI TELEON IP TIP1  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       4668.40 |          0.00 |          0.00 |       4668.40 |
|   22|  300166| SYSTEM PROXY INTERNET                   | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3250.07 |          0.00 |          0.00 |       3250.07 |
|   23|  300182| PC WORKSTATION I3+WIN10 PRO/4           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3766.00 |          0.00 |          0.00 |       3766.00 |
|   24|  300183| PC WORKSTATION I3+WIN 10 PRO/5          | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3766.00 |          0.00 |          0.00 |       3766.00 |
|   25|  300186| PC WORKSTATION I3+WIN10 PRO/8           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3766.00 |          0.00 |          0.00 |       3766.00 |
|   26|  300187| PC WORKSTATION I3+WIN10 PRO/9           | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3766.00 |          0.00 |          0.00 |       3766.00 |
