
                       CENTRALIZATOR CU ACTELE OPERATE 
                    IN PERIOADA   01/01/2025 - 14/01/2026

                                                                              
INFORMAT/TRANSMIS. -  -                                                       
 -   -                                                             pagina:   1
|----|------|----------|-----------|----------|---------------|---------------|
|Crt.|Nr.op.|   Data   |  Tip act  |  Nr.act  |     Debit     |    Credit     |
|----|------|----------|-----------|----------|---------------|---------------|
|   1|  11  |16/04/2025|C.A.J.     |49001     |       3216.92 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|   2|  12  |16/04/2025|C.A.J.     |49002     |       3216.92 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|   3|  13  |16/04/2025|C.A.J.     |49003     |       3216.92 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|   4|  14  |16/04/2025|C.A.J.     |49004     |       3216.92 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|   5|  21  |30/05/2025|N.R.C.D    |42011     |     149150.79 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|   6|  44  |24/09/2025|A.I.M      |7/OD12/A14|      20835.62 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|   7|  45  |29/09/2025|B.M.F.     |46001     |      20835.62 |      20835.62 |
|----|------|----------|-----------|----------|---------------|---------------|
|   8|  46  |29/09/2025|B.M.F.     |46002     |      65034.30 |      65034.30 |
|----|------|----------|-----------|----------|---------------|---------------|
|   9|  47  |29/09/2025|B.M.F.     |46003     |      84116.49 |      84116.49 |
|----|------|----------|-----------|----------|---------------|---------------|
|  10|  68  |12/12/2025|N.R.C.D    |42038     |      31944.00 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|  11|  69  |12/12/2025|N.R.C.D    |42037     |      21417.00 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|  12|  70  |12/12/2025|N.R.C.D    |42039     |      81675.00 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|  13|      |  /  /    |           |          |          0.00 |          0.00 |
|----|------|----------|-----------|----------|---------------|---------------|
|         T O T A L   G E N E R A L           |     487876.50 |     169986.41 |
|---------------------------------------------|---------------|---------------|



























                                                                    14/01/2026