 UNITATEA___________________     LISTA DE INVENTARIERE
 GESTIUNEA__________________        DATA 31/12/2020              pagina      1
|-----|----------|-----------------------------------------|------------------|
| Nr. |  Numar   |          DENUMIRE MATERIAL              | INVENTAR FAPTIC  |
| crt.|  fisa    |                                         |                  |
|-----|----------|-----------------------------------------|------------------|
|   1 |   110632 | INSTALATIE OXIGENOTERAPIE               |                  |
|-----|----------|-----------------------------------------|------------------|
|   2 |   200169 | ECHIPAMENT ANESTEZIE MICROVENT          |                  |
|-----|----------|-----------------------------------------|------------------|
|   3 |   200215 | MONITOR ATI TIP PM18000                 |                  |
|-----|----------|-----------------------------------------|------------------|
|   4 |   200222 | DEFIBRILATOR CU PADELE                  |                  |
|-----|----------|-----------------------------------------|------------------|
|   5 |   200319 | ELECTROCARDIOGRAF/2                     |                  |
|-----|----------|-----------------------------------------|------------------|
|   6 |   200349 | ELECTROGARDIOGRAF/3                     |                  |
|-----|----------|-----------------------------------------|------------------|
|   7 |   200356 | AMBULANTA TIP C SSWDB9066               |                  |
|-----|----------|-----------------------------------------|------------------|
|   8 |   200402 | SISTEM VIZUALIZ.VENE CU INFRAROSU AV    |                  |
|-----|----------|-----------------------------------------|------------------|
|   9 |   200469 | ECOGRAF PORTAB.CU SOFT SI SONDA DE CORD |                  |
|-----|----------|-----------------------------------------|------------------|
|  10 |   200496 | MONITOR PACIENT TFT.10.4 STANDARD/5     |                  |
|-----|----------|-----------------------------------------|------------------|
|  11 |   200497 | MONITOR PACIENT TFT 10.4 STANDARD/6     |                  |
|-----|----------|-----------------------------------------|------------------|
|  12 |   200500 | MONITOR PACIENT TFT 10.4 STANDARD/9     |                  |
|-----|----------|-----------------------------------------|------------------|
|  13 |   200503 | BRANCARD CU SISTEM DE MUTARE PACIENT    |                  |
|-----|----------|-----------------------------------------|------------------|
|  14 |   200506 | BRANCARD CU SISTEM DE MUTARE PACIENT/3  |                  |
|-----|----------|-----------------------------------------|------------------|
|  15 |   200537 | MONITOR PACIENT TFT 10.4 STANDARD       |                  |
|-----|----------|-----------------------------------------|------------------|
|  16 |   200544 | AMBULANTA DE URGENTA TIP B              |                  |
|-----|----------|-----------------------------------------|------------------|
|  17 |   200548 | SET MATERIALE RESUSCITARE PT.ADULTI     |                  |
|-----|----------|-----------------------------------------|------------------|
|  18 |   200549 | TARGA/PAT CU POSIB. DE POZITION.SEZAR   |                  |
|-----|----------|-----------------------------------------|------------------|
|  19 |   200551 | PAT SPITAL TIP ATI 2                    |                  |
|-----|----------|-----------------------------------------|------------------|
|  20 |   200552 | PAT SPITAL TIP ATI 3                    |                  |
|-----|----------|-----------------------------------------|------------------|
|  21 |   200568 | ELECTROCARDIOGRAF GREY 301              |                  |
|-----|----------|-----------------------------------------|------------------|
|  22 |   200597 | MONITOR PACIENT/8                       |                  |
|-----|----------|-----------------------------------------|------------------|
|  23 |   200598 | MONITOR PACIENT/9                       |                  |
|-----|----------|-----------------------------------------|------------------|
|  24 |   200599 | MONITOR PACIENT/10                      |                  |
|-----|----------|-----------------------------------------|------------------|
|  25 |   200723 | FRIGIDER CADAVRU CU DESC.FRONT.1LOC     |                  |
|-----|----------|-----------------------------------------|------------------|
|  26 |   200765 | SISTEM DE SIMULARE/MANECHIN DE SVB*DAE  |                  |
|-----|----------|-----------------------------------------|------------------|
|  27 |   220007 | ELECTROCARDIOGRAF/4                     |                  |
|-----|----------|-----------------------------------------|------------------|
|  28 |   220028 | BRANCARD CU SIST.DE MUTARE PACIENT/4    |                  |
|-----|----------|-----------------------------------------|------------------|
|  29 |   220029 | BRANCARD CU SIST.DE MUTARE PACIENT/5    |                  |
|-----|----------|-----------------------------------------|------------------|
|  30 |   220257 | SIST.IZOL.TRANSP.PERS.CONTAM.BIOLOG.010 |                  |
|-----|----------|-----------------------------------------|------------------| UNITATEA___________________     LISTA DE INVENTARIERE
 GESTIUNEA__________________        DATA 31/12/2020              pagina      2
|-----|----------|-----------------------------------------|------------------|
| Nr. |  Numar   |          DENUMIRE MATERIAL              | INVENTAR FAPTIC  |
| crt.|  fisa    |                                         |                  |
|-----|----------|-----------------------------------------|------------------|
|  31 |   220336 | APARAT VENTILATIE PORTABIL              |                  |
|-----|----------|-----------------------------------------|------------------|
|  32 |   220492 | VENTILATOR MECANICPORTABIL              |                  |
|-----|----------|-----------------------------------------|------------------|
|  33 |   220524 | ECOGRAFBIDIMENSIONAL CU DOPPLER COLOR   |                  |
|-----|----------|-----------------------------------------|------------------|
|  34 |   220578 | ANALIZOR HEMATOLOGIE DREW 3             |                  |
|-----|----------|-----------------------------------------|------------------|
|  35 |   220627 | ECOGRAF HD 11 XE                        |                  |
|-----|----------|-----------------------------------------|------------------|
|  36 |   220629 | ELECTROCARDIOGRAF CU 6-12CANALE PORTABIL|                  |
|-----|----------|-----------------------------------------|------------------|
|  37 |   220630 | DEFIBRILATOR REANIBEX 5                 |                  |
|-----|----------|-----------------------------------------|------------------|
|  38 |   220631 | ANALIZATOR CARDIAC READER               |                  |
|-----|----------|-----------------------------------------|------------------|
|  39 |   220634 | EKG PORTABIL FX 7202 CU ACCESORII STAND |                  |
|-----|----------|-----------------------------------------|------------------|
|  40 |   220658 | AUTOSANITARA TIP A1 PE SASIU LOGAN MCV  |                  |
|-----|----------|-----------------------------------------|------------------|
|  41 |   220667 | ANALIZATOR PICOLO XPRESS SERIA PO 6025  |                  |
|-----|----------|-----------------------------------------|------------------|
|  42 |   220668 | INSTALATIE ALIMENTARE OXIGEN+AER        |                  |
|-----|----------|-----------------------------------------|------------------|
|  43 |   220671 | MONITOR EKG,PULSOXIMETRU,TENS.ARTERIALA |                  |
|-----|----------|-----------------------------------------|------------------|
|  44 |   220672 | BRANCARDA RESUSCITARE CU SUPRAF.RADIOTRA|                  |
|-----|----------|-----------------------------------------|------------------|
|  45 |   220673 | TROLLER MEDICATIE CU DISPENSER          |                  |
|-----|----------|-----------------------------------------|------------------|
|  46 |   220682 | DEFRIB.ELECTROCONCV.SINCRONA STIM.CARD.E|                  |
|-----|----------|-----------------------------------------|------------------|
|  47 |   220700 | ECOGRAPH DOPPLER                        |                  |
|-----|----------|-----------------------------------------|------------------|
|  48 |   220705 | SISTEM MONIT.TRATAM.ANTICOAGULANT ORAL  |                  |
|-----|----------|-----------------------------------------|------------------|
|  49 |   220718 | APARAT DETERM.GAZE SANCVINE READER      |                  |
|-----|----------|-----------------------------------------|------------------|
|  50 |   220721 | INJECTOMAT 3                            |                  |
|-----|----------|-----------------------------------------|------------------|
|  51 |   220722 | INJECTOMAT 4                            |                  |
|-----|----------|-----------------------------------------|------------------|
|  52 |   220724 | DEFIBRILATOR/2                          |                  |
|-----|----------|-----------------------------------------|------------------|
|  53 |   220729 | MONITOR PACIENT 15" IM 15/3             |                  |
|-----|----------|-----------------------------------------|------------------|
|  54 |   220730 | MONITOR PACIENT 15" IM15/4              |                  |
|-----|----------|-----------------------------------------|------------------|
|  55 |   220744 | ANALIZATOR RAPD SUMAR URINA URYLIZER    |                  |
|-----|----------|-----------------------------------------|------------------|
|  56 |   220757 | ANALIZOR CUAGULARE ABRAZO               |                  |
|-----|----------|-----------------------------------------|------------------|
|  57 |   220758 | ANALIZ.MARC.CARD.SI TOXIC.NanoChecker   |                  |
|-----|----------|-----------------------------------------|------------------|
|  58 |   640085 | PAT SPITAL 1                            |                  |
|-----|----------|-----------------------------------------|------------------|
|  59 |   640086 | PAT SPITAL 2                            |                  |
|-----|----------|-----------------------------------------|------------------|
|         COMISIA DE INVENTARIERE            | NUMELE SI PREN.|   SEMNATURA   |
|                                            |                |               ||--------------------------------------------|----------------|---------------|
