

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|     1|    110000   |             |CENTRALA   TERMICA                      |40,  ,  |40,  ,  |40,  ,  |
|     2|    200008   |             |BOILER 85 L ELECTRIC                    |10,  ,  |  ,  ,  |  ,  ,  |
|     3|    200009   |             |APARAT AER CONDITIONAT 1                |10,  ,  |  ,  ,  |  ,  ,  |
|     4|    200019   |             |MASINA DE GATIT CU ARDERE INDEPENDENTA  |10,  ,  |  ,  ,  |  ,  ,  |
|     5|    200022   |             |MASINA DE SPALAT ELECTRICA 1            |10,  ,  |  ,  ,  |  ,  ,  |
|     6|    200023   |             |MASINA DE SPALAT RUFE 1                 |10,  ,  |  ,  ,  |  ,  ,  |
|     7|    200024   |             |MASINA DE SPALAT RUFE 2                 |10,  ,  |  ,  ,  |  ,  ,  |
|     8|    200029   |             |STORCATOR RUFE                          |10,  ,  |  ,  ,  |  ,  ,  |
|     9|    200055   |             |TRANSFORMATOR  SUDURA  ELECTRICA S24453 |10,  ,  |  ,  ,  |  ,  ,  |
|    10|    200327   |             |APARAT AER CONDITIONAT 2                |10,  ,  |  ,  ,  |  ,  ,  |
|    11|    200330   |             |GRUP TERMIC 85KW                        |10,  ,  |  ,  ,  |  ,  ,  |
|    12|    200331   |             |APARAT COTRACURENT                      |10,  ,  |  ,  ,  |  ,  ,  |
|    13|    200332   |             |APARAT CONTRACURENT 58962               |10,  ,  |  ,  ,  |  ,  ,  |
|    14|    200333   |             |CAZAN ABUR MP NR.650                    |10,  ,  |  ,  ,  |  ,  ,  |
|    15|    200334   |             |GENERATOR ACETILENA                     |10,  ,  |  ,  ,  |  ,  ,  |
|    16|    200335   |             |GRUP ELECTROGEN                         |10,  ,  |  ,  ,  |  ,  ,  |
|    17|    200336   |             |MASINA DE GAURIT                        |10,  ,  |  ,  ,  |  ,  ,  |
|    18|    200337   |             |MASINA DE GAURIT ELECTRICA TIP G10      |10,  ,  |  ,  ,  |  ,  ,  |
|    19|    200338   |             |MASINA UNIVERSALA DE TAMPLARIT  MT.40   |10,  ,  |  ,  ,  |  ,  ,  |
|    20|    200339   |             |MODUL DE PREPARARE APA CALDA MENAJERA   |10,  ,  |  ,  ,  |  ,  ,  |
|    21|    200340   |             |POLIZOR P.D. 300 CM                     |10,  ,  |  ,  ,  |  ,  ,  |
|    22|    200341   |             |SCHIMBATOR DE CALDURA CU CU PLACI V 28  |10,  ,  |  ,  ,  |  ,  ,  |
|    23|    200342   |             |CAZAN ABUR I.P. NR 210                  |10,  ,  |  ,  ,  |  ,  ,  |
|    24|    200550   |             |PAT SPITAL TIP ATI 1                    |10,  ,  |  ,  ,  |  ,  ,  |
|    25|    200553   |             |PAT SPITAL TIP ATI 4                    |10,  ,  |  ,  ,  |  ,  ,  |
|    26|    200554   |             |PAT SPITAL TIP ATI 5                    |10,  ,  |  ,  ,  |  ,  ,  |
|    27|    220390   |             |MASINA CALCAT RUFE 1                    |10,  ,  |  ,  ,  |  ,  ,  |
|    28|    220393   |             |PAT A.T.I                               |10,  ,  |  ,  ,  |  ,  ,  |
|    29|    220536   |             |MASINA DE SPALAT RUFE 3                 |10,  ,  |  ,  ,  |  ,  ,  |
|    30|    220537   |             |USCATOR RUFE                            |10,  ,  |  ,  ,  |  ,  ,  |
|    31|    220539   |             |APARAT AER CONDITIONAT DAEWO 121 LH     |10,  ,  |  ,  ,  |  ,  ,  |
|    32|    220594   |             |PAT SPITAL TIP ATI                      | 5,  ,  |  ,  ,  |  ,  ,  |
|    33|    400018   |             |ASCENSOR PT.PERSOANE                    |10,  ,  |  ,  ,  |  ,  ,  |
|    34|    400021   |             |ASCENSOR PT.MATERIALE 75 KG             |10,  ,  |  ,  ,  |  ,  ,  |
|    35|    400022   |             |ASCENSOR PT.MATERIALE                   |10,  ,  |  ,  ,  |  ,  ,  |
|    36|    620229   |             |APARAT AER CONDITIONAT L6Ls-J0962  HL   |10,  ,  |  ,  ,  |  ,  ,  |
|    37|    620230   |             |APARAT AER COND. LG LS-J 1261HL         |10,  ,  |  ,  ,  |  ,  ,  |
|    38|    620231   |             |APARAT AER COND. LGLS-K 1860J           |10,  ,  |  ,  ,  |  ,  ,  |
|    39|    620232   |             |APARAT AER CONDITIONAT LG LM-1963 H2L   |10,  ,  |  ,  ,  |  ,  ,  |
|    40|    620233   |             |APARAT AER CONDITIONAT LG LM -1963 H2L 3|10,  ,  |  ,  ,  |  ,  ,  |
|    41|    620234   |             |APARAT AER CONDITIONAT LG LM1963 H2L    |10,  ,  |  ,  ,  |  ,  ,  |
|    42|    620300   |             |APARAT AER CONDITIONAT                  |10,  ,  |  ,  ,  |  ,  ,  |
|    43|    620301   |             |APARAT AER CONDITIONAT /2               |10,  ,  |  ,  ,  |  ,  ,  |
|    44|    620302   |             |APARAT AER CONDITIONAT /1               |10,  ,  |  ,  ,  |  ,  ,  |
|    45|    640001   |             |CONTAINER TIP GRUP SANITAR(WC)/2        |12,  ,  |  ,  ,  |  ,  ,  |
|    46|    640002   |             |SCARA ACCES CU BALUSTRADA SI PLATFORMA/2|12,  ,  |  ,  ,  |  ,  ,  |
|    47|    640003   |             |CONTAINER ADMINISTRATIV                 |12,  ,  |  ,  ,  |  ,  ,  |
|    48|    640004   |             |CONTAINER ADMINISTRATIV/1               |12,  ,  |  ,  ,  |  ,  ,  |
|    49|    640005   |             |CONTAINER ADMINISTRATIV/2               |12,  ,  |  ,  ,  |  ,  ,  |
|    50|    640006   |             |CONTAINER ADMINISTRATIV/3               |12,  ,  |  ,  ,  |  ,  ,  |
|    51|    640007   |             |CONTAINER ADMINISTRATIV/4               |12,  ,  |  ,  ,  |  ,  ,  |
|    52|    640008   |             |CONTAINER ADMINISTRATIV/5               |12,  ,  |  ,  ,  |  ,  ,  |
|    53|    640009   |             |CONTAINER ADMINISTRATIV/6               |12,  ,  |  ,  ,  |  ,  ,  |
|    54|    640010   |             |CONTAINER ADMINISTRATIV/7               |12,  ,  |  ,  ,  |  ,  ,  |
|    55|    640011   |             |CONTAINER ADMINISTRATIV/8               |12,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          2
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|    56|    640012   |             |CONTAINER ADMINISTRATIV/9               |12,  ,  |  ,  ,  |  ,  ,  |
|    57|    640013   |             |CONTAINER ADMINISTRATIV/10              |12,  ,  |  ,  ,  |  ,  ,  |
|    58|    640085   |             |PAT SPITAL 1                            |10,  ,  |  ,  ,  |  ,  ,  |
|    59|    640086   |             |PAT SPITAL 2                            |10,  ,  |  ,  ,  |  ,  ,  |
|    60|    640087   |             |PAT SPITAL 3                            |10,  ,  |  ,  ,  |  ,  ,  |
|    61|    640088   |             |PAT SPITAL 4                            |10,  ,  |  ,  ,  |  ,  ,  |
|    62|    640089   |             |PAT SPITAL 5                            |10,  ,  |  ,  ,  |  ,  ,  |
|    63|    640090   |             |PAT SPITAL 6                            |10,  ,  |  ,  ,  |  ,  ,  |
|    64|    640091   |             |PAT SPITAL 7                            |10,  ,  |  ,  ,  |  ,  ,  |
|    65|    640092   |             |APARAT AER CONDITIONAT 24000 BTU        |10,  ,  |  ,  ,  |  ,  ,  |
|    66|    640093   |             |APARAT AER CONDITIONTA 9000 BTU 1       |10,  ,  |  ,  ,  |  ,  ,  |
|    67|    640094   |             |APARAT DE AER CONDITIONAT 9000 BTU 2    |10,  ,  |  ,  ,  |  ,  ,  |
|    68|    640095   |             |APARAT AER CONDITIONAT 9000 BTU 3       |10,  ,  |  ,  ,  |  ,  ,  |
|    69|    640096   |             |APARAT AER CONDITIONAT 9000 BTU         |10,  ,  |  ,  ,  |  ,  ,  |
|    70|    640097   |             |CANAPEA 3 LOCURI EXTENSIBILA STOFA      | 5,  ,  |  ,  ,  |  ,  ,  |
|    71|    640098   |             |BARIERA AUTOMATA                        |  ,  ,  |  ,  ,  |  ,  ,  |
|    72|    640099   |             |SISTEM MONITORIZ.SI SUPRAVEG.VIDEO PAV.E| 8,  ,  |  ,  ,  |  ,  ,  |
|    73|    640100   |             |SISTEM AUTOMATIZAT 884                  | 8,  ,  |  ,  ,  |  ,  ,  |
|    74|    640101   |             |CENTRALA DE PURIFICAT AERUL             |12,  ,  |  ,  ,  |  ,  ,  |
|    75|    640102   |             |INST.PURIF./STERILIZ.AER BLOC OPERATOR  |12,  ,  |  ,  ,  |  ,  ,  |
|    76|    640103   |             |INSTAL.DE PURIF.AER SI DETEN.OXIG.PAV.H |12,  ,  |  ,  ,  |  ,  ,  |
|    77|    640104   |             |SISTEM DETECTIE SI ALARM.LA INCEND.PAV.H|18,  ,  |  ,  ,  |  ,  ,  |
|    78|    640105   |             |CENTRALA TERMICA FERROLI 58-60KW        |10,  ,  |  ,  ,  |  ,  ,  |
|    79|    640106   |             |CONTAINER ADMINISTRATIV(IV)             | 8,  ,  |  ,  ,  |  ,  ,  |
|    80|    640107   |             |CONTAINER ADMINISTRATIV(IV)/1           | 8,  ,  |  ,  ,  |  ,  ,  |
|    81|    640108   |             |CONTAINER TIP ADMINISTRATIV(IV)/2       | 8,  ,  |  ,  ,  |  ,  ,  |
|    82|    640109   |             |CONTAINER TIP ADMINISTRATIV(IV)/3       | 8,  ,  |  ,  ,  |  ,  ,  |
|    83|    640110   |             |CONTAINER TIP ADMINISTRATIV(IV)/4       | 8,  ,  |  ,  ,  |  ,  ,  |
|    84|    640111   |             |CONTAINER TIP ADMINISTRATIV(IV)/5       | 8,  ,  |  ,  ,  |  ,  ,  |
|    85|    640112   |             |CONTAINER TIP BIROU/DORMIT/MAG/ADMINI.  |12,  ,  |  ,  ,  |  ,  ,  |
|    86|    640113   |             |CONTAINER TIP BIROU/DORM/MAG/ADMNIS.1   |12,  ,  |  ,  ,  |  ,  ,  |
|    87|    640114   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIS.2  |12,  ,  |  ,  ,  |  ,  ,  |
|    88|    640115   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIS.3  |12,  ,  |  ,  ,  |  ,  ,  |
|    89|    640116   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIS.4  |12,  ,  |  ,  ,  |  ,  ,  |
|    90|    640117   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIS.5  |12,  ,  |  ,  ,  |  ,  ,  |
|    91|    640118   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIS.6  |12,  ,  |  ,  ,  |  ,  ,  |
|    92|    640119   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIST.7 |12,  ,  |  ,  ,  |  ,  ,  |
|    93|    640120   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIS.8  |12,  ,  |  ,  ,  |  ,  ,  |
|    94|    640121   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIS.9  |12,  ,  |  ,  ,  |  ,  ,  |
|    95|    640122   |             |CONTAINER TIP BIROU/DORM/MAG/ADMINIS.10 |12,  ,  |  ,  ,  |  ,  ,  |
|    96|    640123   |             |CONTAINER TIP GRUP SANITAR (WC)V        | 8,  ,  |  ,  ,  |  ,  ,  |
|    97|    640200   |             |CONTAINER TIP DORMITOR ECHIPAT TIP 1    |12,  ,  |  ,  ,  |  ,  ,  |
|    98|    640201   |             |CONTAINER TIP DORMITOR ECHIPAT TIP 1/1  |12,  ,  |  ,  ,  |  ,  ,  |
