

                  LISTA CU CORESPONDENTA MATERIAL-CONT
                  ------------------------------------

                                                          PAGINA:          1
|-----------------------|---------------------------------------------------|
|  NUMARUL FISEI /      |            DENUMIREA MATERIALULUI  /              |
|  CONTUL AFERENT       |            DENUMIREA CONTULUI                     |
|-----------------------|---------------------------------------------------|
|   110000              | CENTRALA   TERMICA                                |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200008              | BOILER 85 L ELECTRIC                              |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200009              | APARAT AER CONDITIONAT 1                          |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   200009              | APARAT AER CONDITIONAT 1                          |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   200019              | MASINA DE GATIT CU ARDERE INDEPENDENTA            |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200022              | MASINA DE SPALAT ELECTRICA 1                      |
| 2131.02.24.04         | ECHIPAMENTE TEHNICE SPALATORII CAZARMARE          |
|-----------------------|---------------------------------------------------|
|   200023              | MASINA DE SPALAT RUFE 1                           |
| 2131.02.24.04         | ECHIPAMENTE TEHNICE SPALATORII CAZARMARE          |
|-----------------------|---------------------------------------------------|
|   200024              | MASINA DE SPALAT RUFE 2                           |
| 2131.02.24.04         | ECHIPAMENTE TEHNICE SPALATORII CAZARMARE          |
|-----------------------|---------------------------------------------------|
|   200029              | STORCATOR RUFE                                    |
| 2131.02.24.04         | ECHIPAMENTE TEHNICE SPALATORII CAZARMARE          |
|-----------------------|---------------------------------------------------|
|   200055              | TRANSFORMATOR  SUDURA  ELECTRICA S24453           |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200327              | APARAT AER CONDITIONAT 2                          |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   200327              | APARAT AER CONDITIONAT 2                          |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   200330              | GRUP TERMIC 85KW                                  |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200331              | APARAT COTRACURENT                                |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200332              | APARAT CONTRACURENT 58962                         |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200333              | CAZAN ABUR MP NR.650                              |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200334              | GENERATOR ACETILENA                               |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200335              | GRUP ELECTROGEN                                   |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
                                                          PAGINA:          2
|-----------------------|---------------------------------------------------|
|  NUMARUL FISEI /      |            DENUMIREA MATERIALULUI  /              |
|  CONTUL AFERENT       |            DENUMIREA CONTULUI                     |
|-----------------------|---------------------------------------------------|
|   200336              | MASINA DE GAURIT                                  |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200337              | MASINA DE GAURIT ELECTRICA TIP G10                |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200338              | MASINA UNIVERSALA DE TAMPLARIT  MT.40             |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200339              | MODUL DE PREPARARE APA CALDA MENAJERA             |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200340              | POLIZOR P.D. 300 CM                               |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200341              | SCHIMBATOR DE CALDURA CU CU PLACI V 28            |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200342              | CAZAN ABUR I.P. NR 210                            |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   200550              | PAT SPITAL TIP ATI 1                              |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   200550              | PAT SPITAL TIP ATI 1                              |
| 2131.02.25.08         | ECHIP TEHN - OCROTIREA SANATATII - INSTRUMENTAR   |
|-----------------------|---------------------------------------------------|
|   200553              | PAT SPITAL TIP ATI 4                              |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   200553              | PAT SPITAL TIP ATI 4                              |
| 2131.02.25.08         | ECHIP TEHN - OCROTIREA SANATATII - INSTRUMENTAR   |
|-----------------------|---------------------------------------------------|
|   200554              | PAT SPITAL TIP ATI 5                              |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   200554              | PAT SPITAL TIP ATI 5                              |
| 2131.02.25.08         | ECHIP TEHN - OCROTIREA SANATATII - INSTRUMENTAR   |
|-----------------------|---------------------------------------------------|
|   220390              | MASINA CALCAT RUFE 1                              |
| 2131.02.24.04         | ECHIPAMENTE TEHNICE SPALATORII CAZARMARE          |
|-----------------------|---------------------------------------------------|
|   220393              | PAT A.T.I                                         |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   220536              | MASINA DE SPALAT RUFE 3                           |
| 2131.02.24.04         | ECHIPAMENTE TEHNICE SPALATORII CAZARMARE          |
|-----------------------|---------------------------------------------------|
|   220537              | USCATOR RUFE                                      |
| 2131.02.24.04         | ECHIPAMENTE TEHNICE SPALATORII CAZARMARE          |
|-----------------------|---------------------------------------------------|
|   220539              | APARAT AER CONDITIONAT DAEWO 121 LH               |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   220594              | PAT SPITAL TIP ATI                                |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   400018              | ASCENSOR PT.PERSOANE                              |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
                                                          PAGINA:          3
|-----------------------|---------------------------------------------------|
|  NUMARUL FISEI /      |            DENUMIREA MATERIALULUI  /              |
|  CONTUL AFERENT       |            DENUMIREA CONTULUI                     |
|-----------------------|---------------------------------------------------|
|   400021              | ASCENSOR PT.MATERIALE 75 KG                       |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   400022              | ASCENSOR PT.MATERIALE                             |
| 2131.02.28.04         | ECHIP TEHN -  CAZARMARE                           |
|-----------------------|---------------------------------------------------|
|   620229              | APARAT AER CONDITIONAT L6Ls-J0962  HL             |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620229              | APARAT AER CONDITIONAT L6Ls-J0962  HL             |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   620230              | APARAT AER COND. LG LS-J 1261HL                   |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620230              | APARAT AER COND. LG LS-J 1261HL                   |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   620231              | APARAT AER COND. LGLS-K 1860J                     |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620231              | APARAT AER COND. LGLS-K 1860J                     |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   620232              | APARAT AER CONDITIONAT LG LM-1963 H2L             |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620232              | APARAT AER CONDITIONAT LG LM-1963 H2L             |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   620233              | APARAT AER CONDITIONAT LG LM -1963 H2L 3          |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620233              | APARAT AER CONDITIONAT LG LM -1963 H2L 3          |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   620234              | APARAT AER CONDITIONAT LG LM1963 H2L              |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620234              | APARAT AER CONDITIONAT LG LM1963 H2L              |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   620300              | APARAT AER CONDITIONAT                            |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620300              | APARAT AER CONDITIONAT                            |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   620301              | APARAT AER CONDITIONAT /2                         |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620301              | APARAT AER CONDITIONAT /2                         |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
|   620302              | APARAT AER CONDITIONAT /1                         |
| 2131.02.25.04         | ECHIP TEHN - OCROTIREA SANATATII  - CAZARMARE     |
|-----------------------|---------------------------------------------------|
|   620302              | APARAT AER CONDITIONAT /1                         |
| 2131.02.26.04         | ALTE MASINI INSTALATII CAZARMARE                  |
|-----------------------|---------------------------------------------------|
                                                          PAGINA:          4
|-----------------------|---------------------------------------------------|
|  NUMARUL FISEI /      |            DENUMIREA MATERIALULUI  /              |
|  CONTUL AFERENT       |            DENUMIREA CONTULUI                     |
|-----------------------|---------------------------------------------------|
