      NOTA CONTABILA                                    

      operatiunea nr.     40  din  16/09/2025    numar act A3093/1070                                                     

CONTUL: 11=212.01.06             CONSTRUCTII SOCIAL CULTARALE                        UZ/STOC: 0=FOLOSINTA   GESTIUNEA (Ge): 77=CAZARMARE/DOM.PUBLIC
LOCUL UNDE SE AFLA: 83 = CLADIRI               SURSA DE FINANTARE (F):  3=BUGET CAP.51.03    PROVENIENTA (P):  1 =INZ. ORG.CENTR.
|---|------------------------------------------|--------|----------|-------|---------------|-----------------------|-------------------------------|---|--|--|--|--|--|----------|
|Nr.|                                          |        |          |       |   PRETUL      |  C A N T I T A T I V  |         V A L O R I C         |Co-|Uz|Ge|Lo|F |P |          |
|crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |   UNITAR      |-----------------------|-------------------------------|nt |/ |  |cu|  |  |Data intr |
|   |                                          |  FISA  | MASURA   |       |               |  INTRARE  |  IESIRE   |     DEBIT     |    CREDIT     |   |St|  |  |  |  |          |
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  1| PAVILION G-MAGAZIE-Cazarma 705           |  100025|  bucati  |FOLOS. |       1874.36 |           |     1.000 |          0.00 |       1874.36 | 11|FO|77|83| 3| 1|29/03/2022|         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  2| PAVILION G-MAGAZIE-Cazarma 705           |  100025|  bucati  |FOLOS. |       1874.36 |     1.000 |           |       1874.36 |          0.00 | 11|FO|18|83| 3| 1|16/09/2025|         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  3| DRUM PAMANT 846 mp.-Cazarnma 705         |  100010|  bucati  |FOLOS. |         60.36 |           |     1.000 |          0.00 |         60.36 |  9|FO|77|82| 3| 1|  /  /    |         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  4| DRUM PAMANT 846 mp.-Cazarnma 705         |  100010|  bucati  |FOLOS. |         60.36 |     1.000 |           |         60.36 |          0.00 |  9|FO|18|82| 3| 1|16/09/2025|         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  5| IMPREJMUIRE SARMA 364 ml.-Cazarma 705    |  100012|  bucati  |FOLOS. |         47.84 |           |     1.000 |          0.00 |         47.84 |  8|FO|77|82| 3| 1|06/01/2015|         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  6| IMPREJMUIRE SARMA 364 ml.-Cazarma 705    |  100012|  bucati  |FOLOS. |         47.84 |     1.000 |           |         47.84 |          0.00 |  8|FO|18|82| 3| 1|16/09/2025|         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  7| RETEA ELECTRICA AERIANA 790 ml-Caz.705   |  100016|  bucati  |FOLOS. |        797.90 |           |     1.000 |          0.00 |        797.90 |  7|FO|77|82| 3| 1|  /  /    |         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  8| RETEA ELECTRICA AERIANA 790 ml-Caz.705   |  100016|  bucati  |FOLOS. |        797.90 |     1.000 |           |        797.90 |          0.00 |  7|FO|18|82| 3| 1|16/09/2025|         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
|  9| DRUMURI BETON 479 MP-Cazarma 705         |  100008|  bucati  |FOLOS. |        827.00 |           |     1.000 |          0.00 |        827.00 |  8|FO|77|82| 3| 1|28/11/2018|         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
| 10| DRUMURI BETON 479 MP-Cazarma 705         |  100008|  bucati  |FOLOS. |        827.00 |     1.000 |           |        827.00 |          0.00 |  8|FO|18|82| 3| 1|16/09/2025|         
|---|------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|---|--|--|--|--|--|----------|
    |  Total operatiunea numarul     40  din  16/09/2025 , numar act  A3093/1070                                   |       3607.46 |       3607.46 | 
    |------------------------------------------|--------|----------|-------|---------------|-----------|-----------|---------------|---------------|
