
                              BALANTA SINTETICA
              A MATERIALELOR PENTRU PERIOADA 01/01/2004 - 08/05/2004


                            PERIOADA:  01/01/2004 - 08/05/2004             pagina:    1
                                                                                          
  -  -   -  -   -                                                                         
|---------------------|----------------|----------------|----------------|----------------|
|    SIMBOL CONT      | SOLD PRECEDENT |     DEBIT      |     CREDIT     |      SOLD      |
|---------------------|----------------|----------------|----------------|----------------|
|159                  |                |       70363760 |                |       70363760 |
|159.04.02            |                |       21960305 |                |       21960305 |
|159.04.03            |                |       48403455 |                |       48403455 |
|600                  |                |     1077084549 |                |     1077084549 |
|600.02               |                |      590784548 |                |      590784548 |
|600.02.05.24.05      |                |      590784548 |                |      590784548 |
|600.09               |                |      486300001 |                |      486300001 |
|600.09.03.27         |                |      486300001 |                |      486300001 |
|---------------------|----------------|----------------|----------------|----------------|
|   TOTAL GENERAL     |                |     1147448309 |                |     1147448309 |
|---------------------|----------------|----------------|----------------|----------------|










































|---------------------|----------------|----------------|----------------|----------------|
                                                                                08/05/2004