                                                                          BALANTA ANALITICA
                                                           A MATERIALELOR PENTRU PERIOADA  01/01/2016 - 22/06/2016


                                                                                                              
  -  -   -  -   -                                                                                                            PERIOADA:  01/01/2016 - 22/06/2016            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.|  INTRARI |  IESIRI  |   STOC   |  SOLD INITIAL |     DEBIT     |     CREDIT    |      SOLD     |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|    1|   10004| STARTARE                                | buc        | NOU     |    88    |    0     |    0     |    88    |        464922 |               |               |        464922 |
|    2|   10005| STECHERE                                | buc        | NOU     |   111    |    0     |    0     |   111    |        295360 |               |               |        295360 |
|    3|   10007| PRIZE ST CU CAPAC                       | buc        | NOU     |    6     |    0     |    0     |    6     |         55761 |               |               |         55761 |
|    4|   10013| TUB LFA 4O W                            | buc        | NOU     |   213    |    0     |    0     |   213    |       5030666 |               |               |       5030666 |
|    5|   10014| TUB LFA 2O W                            | buc        | NOU     |    58    |    0     |    0     |    58    |       1103133 |               |               |       1103133 |
|    6|   10019| DULIE                                   | buc        | NOU     |    27    |    0     |    0     |    27    |         72373 |               |               |         72373 |
|    7|   10023| INTRERUPATOR ANTIGRON                   | buc        | NOU     |    15    |    0     |    0     |    15    |        116351 |               |               |        116351 |
|    8|   10026| TEAVA REFULARE                          | buc        | NOU     |    1     |    0     |    0     |    1     |         10620 |               |               |         10620 |
|    9|   10037| ELECTROZI SUPERTIT3X25                  | kg         | NOU     |    34    |    0     |    0     |    34    |       1760363 |               |               |       1760363 |
|   10|   10050| VOPSEA ALBA                             | kg         | NOU     |    98    |    0     |    0     |    98    |       6213047 |               |               |       6213047 |
|   11|   10052| SODA CALCINATA                          | kg         | NOU     |   175    |    0     |    0     |   175    |       1160185 |               |               |       1160185 |
