

                      LISTA CU DENUMIREA MATERIALELOR
                      -------------------------------

                                                          PAGINA:          1
|------|-------------|-------------|----------------------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |
|CURENT|    FISEI    | MATERIALULUI|                                        |
|------|-------------|-------------|----------------------------------------|
|     1|     30519   |             |AJAX GEAM                               |
|     2|     30624   |             |AMORSA 1/1                              |
|     3|     30622   |             |AMORSA 5/1                              |
|     4|     30046   |             |ANTIGEL                                 |
|     5|     10091   |             |ARACET                                  |
|     6|     10184   |             |AVIZ INSOTIRE MARFA                     |
|     7|     30098   |             |BALAMALE                                |
|     8|     30649   |             |BCA                                     |
|     9|     30507   |             |BCF MOTORINA 300000LEI/FILA             |
|    10|     30545   |             |BEC INCANDESCENT                        |
|    11|     10961   |             |BECURI COLORATE                         |
|    12|     30634   |             |BENZI IZOL.                             |
|    13|     30500   |             |BENZINA BCF 200000 LEI/FILA             |
|    14|     10964   |             |BON CU VALOARE FIXA                     |
|    15|     10963   |             |BON DE CONSUM                           |
|    16|     30521   |             |BON PREDARE TRANSFER                    |
|    17|     10494   |             |BON V.FIX MASA MARF.40.000              |
|    18|     10477   |             |BON VAL FIX DEPOZ NOAPTE 6000           |
|    19|     10476   |             |BON VAL FIX MASA 20000 LEI              |
|    20|     10361   |             |BON VAL FIXA 1MP-15000 LEI              |
|    21|     10979   |             |BON VAL FIXA 20000LEI TIRG              |
|    22|     10496   |             |BON VAL FIXA INTR AUTO 40000            |
|    23|     10362   |             |BON VAL FIXA MASA LEG.35000             |
|    24|     10495   |             |BON VAL FIXA TG .5000 LEI               |
|    25|     10978   |             |BON VAL.FIXA 100000LEI                  |
|    26|     10977   |             |BON VAL.FIXA 10000LEI                   |
|    27|     10593   |             |BON VAL.FIXA 12000LEI/FILA              |
|    28|     10981   |             |BON VAL.FIXA 20000LEI PIATA             |
|    29|     10974   |             |BON VAL.FIXA 2000LEI                    |
|    30|     10980   |             |BON VAL.FIXA 50000                      |
|    31|     10592   |             |BON VAL.FIXA 50000LEI/FILA              |
|    32|     10975   |             |BON VAL.FIXA 5000LEI                    |
|    33|     10982   |             |BON VAL.FIXA 75000LEI A.TURISM          |
|    34|     10976   |             |BON VAL.FIXA 75000LEI M.A               |
|    35|     10903   |             |BON VALOARE FIXA                        |
|    36|     10191   |             |BON VALOARE FIXA 3000 LEI               |
|    37|     30506   |             |BONURI BENZINA /300000LEI/FILA          |
|    38|     30073   |             |BROASCA USA                             |
|    39|     30615   |             |BURETE SLEFUIT                          |
|    40|     10203   |             |BURGHIE DIF                             |
|    41|     10161   |             |CABLU                                   |
|    42|     10958   |             |CALGON AUTOMAT                          |
|    43|     30630   |             |CATER                                   |
|    44|     10473   |             |CEC NUMERAR                             |
|    45|     10092   |             |CHIT                                    |
|    46|     10965   |             |CHIT.INCHIR.OBIECTE                     |
|    47|     10966   |             |CHITANTA COD 14-4-1                     |
|    48|     30518   |             |CIF PASTA CURATAT                       |
|    49|     12019   |             |CLEMA D20                               |
|    50|     10987   |             |CLEME  16                               |
|    51|     10222   |             |CLORURA VAR                             |
