                                  SITUATIA MATERIALELOR

                                                                                                             
ADM PIETELOR PITESTI -  -   -  -   -                                                                         

CONTUL: 16=600.02.05.24.05       RECHIZITE DE BIROU SI FURNITURI STOCABILE           Uz/St 0=UZ          GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    MEDIU      | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |
|     |                                          |  FISA  | MASURA   |       |   PONDERAT    |           |               |   |St|  |  |  |  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|    1| STARTARE                                 |   10004|   buc    |  NOU  |       7500.00 |    100.000|        750000 | 16|UZ| 1|50| 3| 1|
|    2| STECHERE                                 |   10005|   buc    |  NOU  |       3777.40 |    111.000|        419291 | 16|UZ| 1|50| 3| 1|
|    3| PRIZE ST CU CAPAC                        |   10007|   buc    |  NOU  |      13193.00 |      6.000|         79158 | 16|UZ| 1|50| 3| 1|
|    4| COMUTATOR                                |   10012|   buc    |  NOU  |      29412.00 |      1.000|         29412 | 16|UZ| 1|50| 3| 1|
|    5| TUB LFA 4O W                             |   10013|   buc    |  NOU  |      32205.88 |    255.000|       8212500 | 16|UZ| 1|50| 3| 1|
|    6| TUB LFA 2O W                             |   10014|   buc    |  NOU  |      23818.18 |    110.000|       2620000 | 16|UZ| 1|50| 3| 1|
|    7| DULIE                                    |   10019|   buc    |  NOU  |       3805.19 |     27.000|        102740 | 16|UZ| 1|50| 3| 1|
|    8| INTRERUPATOR ANTIGRON                    |   10023|   buc    |  NOU  |      11011.40 |     15.000|        165171 | 16|UZ| 1|50| 3| 1|
|    9| TEAVA REFULARE                           |   10026|   buc    |  NOU  |      15076.00 |      1.000|         15076 | 16|UZ| 1|50| 3| 1|
|   10| ELECTROZI SUPERTIT3X25                   |   10037|    kg    |  NOU  |      73500.00 |     58.000|       4263000 | 16|UZ| 1|50| 3| 1|
|   11| VOPSEA ROSIE                             |   10048|    kg    |  NOU  |      90000.00 |     40.000|       3600000 | 16|UZ| 1|50| 3| 1|
|   12| VOPSEA GALBENA                           |   10049|    b     |  NOU  |      90000.00 |     40.000|       3600000 | 16|UZ| 1|50| 3| 1|
|   13| VOPSEA GALBENA                           |   10049|    kg    |  NOU  |      81513.00 |      5.000|        407565 | 16|UZ| 1|50| 3| 1|
|   14| VOPSEA ALBA                              |   10050|    b     |  NOU  |      90000.00 |    295.000|      26550000 | 16|UZ| 1|50| 3| 1|
|   15| VOPSEA ALBA                              |   10050|    kg    |  NOU  |      78992.00 |      2.000|        157984 | 16|UZ| 1|50| 3| 1|
|   16| SODA CALCINATA                           |   10052|    kg    |  NOU  |       9411.37 |    505.000|       4752742 | 16|UZ| 1|50| 3| 1|
|   17| MATURI SORG                              |   10055|   buc    |  NOU  |      21000.00 |    610.000|      12810000 | 16|UZ| 1|50| 3| 1|
|   18| SODA CAUST.                              |   10058|    kg    |  NOU  |      20000.00 |     90.000|       1800000 | 16|UZ| 1|50| 3| 1|
|   19| HIDRANT                                  |   10067|   buc    |  NOU  |     138840.00 |      5.000|        694200 | 16|UZ| 1|50| 3| 1|
