
                                 BALANTA SINTETICA
           A OBIECTELOR DE INVENTAR PENTRU PERIOADA  01/01/2004 - 08/05/2004


                            PERIOADA:  01/01/2004 - 08/05/2004             pagina:    1
                                                                                          
  -  -   -  -   -                                                                         
|---------------------|----------------|----------------|----------------|----------------|
|    SIMBOL CONT      | SOLD PRECEDENT |     DEBIT      |     CREDIT     |       SOLD     |
|---------------------|----------------|----------------|----------------|----------------|
|602                  |                |       47370999 |                |       47370999 |
|602.04               |                |       47370999 |                |       47370999 |
|602.04.04            |                |       47370999 |                |       47370999 |
|602.04.04.03.26.03   |                |       47370999 |                |       47370999 |
|602.04.04.03.26.03.11|                |       47370999 |                |       47370999 |
|603                  |                |     2345144855 |                |     2345144855 |
|603.04               |                |     2345144855 |                |     2345144855 |
|603.04.04            |                |     2345144855 |                |     2345144855 |
|603.04.04.03.26.03   |                |     2345144855 |                |     2345144855 |
|603.04.04.03.26.03.11|                |     2345144855 |                |     2345144855 |
|---------------------|----------------|----------------|----------------|----------------|
|   TOTAL GENERAL     |                |     2392515854 |                |     2392515854 |
|---------------------|----------------|----------------|----------------|----------------|








































|---------------------|----------------|----------------|----------------|----------------|
                                                                                08/05/2004