                                                                          BALANTA ANALITICA
                                                          A OBIECTELOR DE INVENTAR PENTRU PERIOADA  01/01/2004 - 08/05/2004


                                                                                                              
 ADM PIETELOR PITESTI -  -   -  -   -                                                                                        PERIOADA:  01/01/2004 - 08/05/2004            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|    1|   20001| SALOPETE DOC                            | cos        | NOU     |    0     |    70    |    0     |    70    |               |      12467097 |               |      12467097 |
|    2|   20002| APOMETRU                                | buc        | NOU     |    0     |    4     |    0     |    4     |               |        871219 |               |        871219 |
|    3|   20003| JAMBIERI                                | per        | NOU     |    0     |    3     |    0     |    3     |               |          7500 |               |          7500 |
|    4|   20004| SORTURI SUDOR                           | buc        | NOU     |    0     |    3     |    0     |    3     |               |        286000 |               |        286000 |
|    5|   20006| CHIUVETA                                | buc        | NOU     |    0     |    19    |    0     |    19    |               |        567727 |               |        567727 |
|    6|   20007| MANUSI PROTECTIE                        | per        | NOU     |    0     |    29    |    0     |    29    |               |        172124 |               |        172124 |
|    7|   20009| SUBA TIP CFR                            | buc        | NOU     |    0     |    1     |    0     |    1     |               |         52500 |               |         52500 |
|    8|   20010| MANUSI LACATUS                          | per        | NOU     |    0     |    14    |    0     |    14    |               |        519499 |               |        519499 |
|    9|   20011| PUBELE GUNOI                            | buc        | NOU     |    0     |    38    |    0     |    38    |               |       5987791 |               |       5987791 |
|   10|   20012| MANUSI SUDOR                            | per        | NOU     |    0     |    3     |    0     |    3     |               |         95529 |               |         95529 |
|   11|   20013| LOPETI                                  | buc        | NOU     |    0     |    14    |    0     |    14    |               |        121257 |               |        121257 |
|   12|   20014| HALATE ALBE                             | buc        | NOU     |    0     |   141    |    0     |   141    |               |      12531103 |               |      12531103 |
|   13|   20015| MASCA PROTECTIE SUDURA                  | buc        | NOU     |    0     |    2     |    0     |    2     |               |        117648 |               |        117648 |
|   14|   20016| HAQLATE DOC                             | buc        | NOU     |    0     |    6     |    0     |    6     |               |         61228 |               |         61228 |
|   15|   20017| GALETI ZINCATE                          | buc        | NOU     |    0     |    1     |    0     |    1     |               |          3568 |               |          3568 |
|   16|   20019| TIRNACOP                                | buc        | NOU     |    0     |    11    |    0     |    11    |               |        170050 |               |        170050 |
|   17|   20023| POLIZOR                                 | buc        | NOU     |    0     |    1     |    0     |    1     |               |        121619 |               |        121619 |
|   18|   20026| GRILAJ FIER                             | kg         | NOU     |    0     |    65    |    0     |    65    |               |         80496 |               |         80496 |
|   19|   20027| FURTUN D 16                             | ml         | NOU     |    0     |   254    |    0     |   254    |               |        440931 |               |        440931 |
|   20|   20028| STIPLEXURI INSCRIPT                     | buc        | NOU     |    0     |    67    |    0     |    67    |               |       5413005 |               |       5413005 |
|   21|   20034| RAFT METALIC CINTARE                    | buc        | NOU     |    0     |    7     |    0     |    7     |               |        379903 |               |        379903 |
|   22|   20035| SCAUN KG 212                            | buc        | NOU     |    0     |    17    |    0     |    17    |               |       1031591 |               |       1031591 |
|   23|   20036| HALATE DOC                              | buc        | NOU     |    0     |    76    |    0     |    76    |               |      15120216 |               |      15120216 |
|   24|   20038| RAME MOZAIC CU SUPORT                   | buc        | NOU     |    0     |    3     |    0     |    3     |               |        180750 |               |        180750 |
|   25|   20039| GALANTARE                               | bc         | NOU     |    0     |    4     |    0     |    4     |               |        115630 |               |        115630 |
|   26|   20040| BUTOI 200                               | buc        | NOU     |    0     |    3     |    0     |    3     |               |         68943 |               |         68943 |
|   27|   20041| LACATE                                  | buc        | NOU     |    0     |    12    |    0     |    12    |               |         50336 |               |         50336 |
|   28|   20042| BLATURI MOZAICATE                       | bu8        | NOU     |    0     |    95    |    0     |    95    |               |      42456314 |               |      42456314 |
|   29|   20043| MOCHETA                                 | mp         | NOU     |    0     | 553.700  |    0     | 553.700  |               |      16760893 |               |      16760893 |
|   30|   20044| PELERINE PLOAIE                         | buc        | NOU     |    0     |    2     |    0     |    2     |               |         30000 |               |         30000 |
|   31|   20046| BORSETE                                 | buc        | NOU     |    0     |    7     |    0     |    7     |               |         19521 |               |         19521 |
|   32|   20047| CHIUVETA FONTA                          | buc        | NOU     |    0     |    40    |    0     |    40    |               |        752952 |               |        752952 |
|   33|   20048| LOPETI TIP FARAS                        | buc        | NOU     |    0     |    20    |    0     |    20    |               |        699160 |               |        699160 |
