                                                                                                              
  -  -   -  -   -                                                                                             
|-----------------------------------------------|-------------------------------------------------------------------------------|-------------------------------------------------------------|-------|
| Unitatea____________________________________  |                      L I S T A   D E   I N V E N T A R I E R E                |  Gestiunea _______________________________________________  | Pagina|
| Magazia ____________________________________  |                            Data 06/03/2004                                    |  Loc de depozitare _______________________________________  |     1 |
|-----------------------------------------------|-------------------------------------------------------------------------------|-------------------------------------------------------------|-------|
|     |                                         |        | UNITATE    |  STARE  |         C A N T I T A T I       |             |       VALOAREA CONTABILA        |              |    Deprecierea     |
| Crt.|         DENUMIREA MATERIALULUI          |  FISA  |   DE       | MATERIAL|    Stocuri       | Diferente    |   Pretul    |              |    Diferente     | Valoarea de  |  Valoarea  |Motivul|
|     |                                         |        | MASURA     |         |Faptice|Scriptice |Plus  | Minus |   unitar    |  Valoare     | Plus   |  Minus  |   inventar   |            |(codul)|
|-----|-----------------------------------------|--------|------------|---------|-------|----------|------|-------|-------------|--------------|--------|---------|--------------|------------|-------|
|  0  |                  1                      |    2   |      3     |         |   4   |    5     |  6   |   7   |      8      |      9       |   10   |    11   |      12      |     13     |   14  |
|-----|-----------------------------------------|--------|------------|---------|-------|----------|------|-------|-------------|--------------|--------|---------|--------------|------------|-------|
|    1| SALOPETE DOC                            |   20001| cos        | NOU     |       |    7     |      |       |    178101.00|       1246707|        |         |       1246707|            |       |
|    2| SALOPETE DOC                            |   20001| cos        | NOU     |       |    3     |      |       |    178101.33|        534304|        |         |        534304|            |       |
|    3| SALOPETE DOC                            |   20001| cos        | NOU     |       |    15    |      |       |    178101.40|       2671521|        |         |       2671521|            |       |
|    4| SALOPETE DOC                            |   20001| cos        | NOU     |       |    22    |      |       |    178101.41|       3918231|        |         |       3918231|            |       |
|    5| SALOPETE DOC                            |   20001| cos        | NOU     |       |    7     |      |       |    178101.43|       1246710|        |         |       1246710|            |       |
|    6| SALOPETE DOC                            |   20001| cos        | NOU     |       |    16    |      |       |    178101.50|       2849624|        |         |       2849624|            |       |
|    7| APOMETRU                                |   20002| buc        | NOU     |       |    3     |      |       |    217804.67|        653414|        |         |        653414|            |       |
|    8| APOMETRU                                |   20002| buc        | NOU     |       |    1     |      |       |    217805.00|        217805|        |         |        217805|            |       |
|    9| JAMBIERI                                |   20003| per        | NOU     |       |    3     |      |       |      2500.00|          7500|        |         |          7500|            |       |
|   10| SORTURI SUDOR                           |   20004| buc        | NOU     |       |    1     |      |       |     95333.00|         95333|        |         |         95333|            |       |
|   11| SORTURI SUDOR                           |   20004| buc        | NOU     |       |    2     |      |       |     95333.50|        190667|        |         |        190667|            |       |
|   12| CHIUVETA                                |   20006| buc        | NOU     |       |    4     |      |       |     29880.25|        119521|        |         |        119521|            |       |
|   13| CHIUVETA                                |   20006| buc        | NOU     |       |    3     |      |       |     29880.33|         89641|        |         |         89641|            |       |
|   14| CHIUVETA                                |   20006| buc        | NOU     |       |    10    |      |       |     29880.40|        298804|        |         |        298804|            |       |
|   15| CHIUVETA                                |   20006| buc        | NOU     |       |    2     |      |       |     29880.50|         59761|        |         |         59761|            |       |
|   16| MANUSI PROTECTIE                        |   20007| per        | NOU     |       |    4     |      |       |      5935.00|         23740|        |         |         23740|            |       |
|   17| MANUSI PROTECTIE                        |   20007| per        | NOU     |       |    25    |      |       |      5935.36|        148384|        |         |        148384|            |       |
|   18| SUBA TIP CFR                            |   20009| buc        | NOU     |       |    1     |      |       |     52500.00|         52500|        |         |         52500|            |       |
|   19| MANUSI LACATUS                          |   20010| per        | NOU     |       |    5     |      |       |     37107.00|        185535|        |         |        185535|            |       |
|   20| MANUSI LACATUS                          |   20010| per        | NOU     |       |    9     |      |       |     37107.11|        333964|        |         |        333964|            |       |
