

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|     1|     20001   |             |SALOPETE DOC                            |10,  ,  |  ,  ,  |  ,  ,  |
|     2|     20002   |             |APOMETRU                                |10,  ,  |  ,  ,  |  ,  ,  |
|     3|     20003   |             |JAMBIERI                                |10,  ,  |  ,  ,  |  ,  ,  |
|     4|     20004   |             |SORTURI SUDOR                           |10,  ,  |  ,  ,  |  ,  ,  |
|     5|     20006   |             |CHIUVETA                                |10,  ,  |  ,  ,  |  ,  ,  |
|     6|     20007   |             |MANUSI PROTECTIE                        |10,  ,  |  ,  ,  |  ,  ,  |
|     7|     20009   |             |SUBA TIP CFR                            |10,  ,  |  ,  ,  |  ,  ,  |
|     8|     20010   |             |MANUSI LACATUS                          |10,  ,  |  ,  ,  |  ,  ,  |
|     9|     20011   |             |PUBELE GUNOI                            |10,  ,  |  ,  ,  |  ,  ,  |
|    10|     20012   |             |MANUSI SUDOR                            |10,  ,  |  ,  ,  |  ,  ,  |
|    11|     20013   |             |LOPETI                                  |10,  ,  |  ,  ,  |  ,  ,  |
|    12|     20014   |             |HALATE ALBE                             |10,  ,  |  ,  ,  |  ,  ,  |
|    13|     20015   |             |MASCA PROTECTIE SUDURA                  |10,  ,  |  ,  ,  |  ,  ,  |
|    14|     20016   |             |HAQLATE DOC                             |10,  ,  |  ,  ,  |  ,  ,  |
|    15|     20017   |             |GALETI ZINCATE                          |10,  ,  |  ,  ,  |  ,  ,  |
|    16|     20019   |             |TIRNACOP                                |10,  ,  |  ,  ,  |  ,  ,  |
|    17|     20023   |             |POLIZOR                                 |10,  ,  |  ,  ,  |  ,  ,  |
|    18|     20026   |             |GRILAJ FIER                             |10,  ,  |  ,  ,  |  ,  ,  |
|    19|     20027   |             |FURTUN D 16                             |10,  ,  |  ,  ,  |  ,  ,  |
|    20|     20028   |             |STIPLEXURI INSCRIPT                     |10,  ,  |  ,  ,  |  ,  ,  |
|    21|     20034   |             |RAFT METALIC CINTARE                    |10,  ,  |  ,  ,  |  ,  ,  |
|    22|     20035   |             |SCAUN KG 212                            |10,  ,  |  ,  ,  |  ,  ,  |
|    23|     20036   |             |HALATE DOC                              |10,  ,  |  ,  ,  |  ,  ,  |
|    24|     20038   |             |RAME MOZAIC CU SUPORT                   |10,  ,  |  ,  ,  |  ,  ,  |
|    25|     20039   |             |GALANTARE                               |10,  ,  |  ,  ,  |  ,  ,  |
|    26|     20040   |             |BUTOI 200                               |10,  ,  |  ,  ,  |  ,  ,  |
|    27|     20041   |             |LACATE                                  |10,  ,  |  ,  ,  |  ,  ,  |
|    28|     20042   |             |BLATURI MOZAICATE                       |10,  ,  |  ,  ,  |  ,  ,  |
|    29|     20043   |             |MOCHETA                                 |10,  ,  |  ,  ,  |  ,  ,  |
|    30|     20044   |             |PELERINE PLOAIE                         |10,  ,  |  ,  ,  |  ,  ,  |
|    31|     20046   |             |BORSETE                                 |10,  ,  |  ,  ,  |  ,  ,  |
|    32|     20047   |             |CHIUVETA FONTA                          |10,  ,  |  ,  ,  |  ,  ,  |
|    33|     20048   |             |LOPETI TIP FARAS                        |10,  ,  |  ,  ,  |  ,  ,  |
|    34|     20049   |             |HALATE ALBE                             |10,  ,  |  ,  ,  |  ,  ,  |
|    35|     20050   |             |RAFTURI METALICE                        |10,  ,  |  ,  ,  |  ,  ,  |
|    36|     20052   |             |SALOPETE DOC                            |10,  ,  |  ,  ,  |  ,  ,  |
|    37|     20053   |             |PRELUNGITOR                             |10,  ,  |  ,  ,  |  ,  ,  |
|    38|     20054   |             |PERDEA RELON                            |10,  ,  |  ,  ,  |  ,  ,  |
|    39|     20055   |             |BIROU STEJAR                            |10,  ,  |  ,  ,  |  ,  ,  |
|    40|     20056   |             |STINGATOR PCI                           |10,  ,  |  ,  ,  |  ,  ,  |
|    41|     20057   |             |CUIER                                   |10,  ,  |  ,  ,  |  ,  ,  |
|    42|     20058   |             |DULAP 2 CORPURI                         |10,  ,  |  ,  ,  |  ,  ,  |
|    43|     20059   |             |GALERIE                                 |10,  ,  |  ,  ,  |  ,  ,  |
|    44|     20060   |             |RAFTURI METALICE VECHI                  |10,  ,  |  ,  ,  |  ,  ,  |
|    45|     20061   |             |SUPORT BULETINE                         |10,  ,  |  ,  ,  |  ,  ,  |
|    46|     20062   |             |BROASCA YALA                            |10,  ,  |  ,  ,  |  ,  ,  |
|    47|     20064   |             |CUIERE PERETE                           |10,  ,  |  ,  ,  |  ,  ,  |
|    48|     20065   |             |FISET METALIC 2 USI                     |10,  ,  |  ,  ,  |  ,  ,  |
|    49|     20066   |             |COSURI GUNOI                            |10,  ,  |  ,  ,  |  ,  ,  |
|    50|     20067   |             |TAVI INOX                               |10,  ,  |  ,  ,  |  ,  ,  |
|    51|     20069   |             |CHIUVETA FONTA                          |10,  ,  |  ,  ,  |  ,  ,  |
|    52|     20070   |             |FURTUN D 25                             |10,  ,  |  ,  ,  |  ,  ,  |
|    53|     20072   |             |\RAME METALICE                          |10,  ,  |  ,  ,  |  ,  ,  |
|    54|     20073   |             |STELAJE PT CAR4CASE                     |10,  ,  |  ,  ,  |  ,  ,  |
|    55|     20075   |             |SORTURI ALBE                            |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          2
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|    56|     20076   |             |PINZA DECORATIVA                        |10,  ,  |  ,  ,  |  ,  ,  |
|    57|     20077   |             |AEROTERMA                               |10,  ,  |  ,  ,  |  ,  ,  |
|    58|     20078   |             |SCAUNE PLOIESTI                         |10,  ,  |  ,  ,  |  ,  ,  |
|    59|     20079   |             |MESE MOZAICATE                          |10,  ,  |  ,  ,  |  ,  ,  |
|    60|     20080   |             |GRILAJ FIER GEAM                        |10,  ,  |  ,  ,  |  ,  ,  |
|    61|     20081   |             |GRILAJ USA                              |10,  ,  |  ,  ,  |  ,  ,  |
|    62|     20082   |             |LUSTRA CU 3 BRATE                       |10,  ,  |  ,  ,  |  ,  ,  |
