                                 SITUATIA OBIECTELOR DE INVENTAR LA DATA 06/03/2004               

                                                                                                             
 -  -   -  -   -                                                                                             

CONTUL: 52=602.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|    1| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.40 |      5.000|        890507 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|    2| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.41 |     22.000|       3918231 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|    3| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.43 |      7.000|       1246710 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|    4| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.33 |      3.000|        534304 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|    5| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.50 |      4.000|        712406 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|    6| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.40 |     10.000|       1781014 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|    7| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.50 |      2.000|        356203 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|    8| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.50 |      2.000|        356203 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|    9| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.00 |      1.000|        178101 |109|FO| 1|52| 3| 1|01/01/2003|    11.944 |
|   10| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.00 |      1.000|        178101 |109|FO| 1|53| 3| 1|01/01/2003|    11.944 |
|   11| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.00 |      1.000|        178101 |109|FO| 1|54| 3| 1|01/01/2003|    11.944 |
|   12| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.00 |      1.000|        178101 |109|FO| 1|56| 3| 1|01/01/2003|    11.944 |
|   13| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.50 |      4.000|        712406 |109|FO| 1|57| 3| 1|01/01/2003|    11.944 |
|   14| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.50 |      2.000|        356203 |109|FO| 1|59| 3| 1|01/01/2003|    11.944 |
|   15| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.00 |      1.000|        178101 |109|FO| 1|60| 3| 1|01/01/2003|    11.944 |
|   16| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.00 |      1.000|        178101 |109|FO| 1|61| 3| 1|01/01/2003|    11.944 |
|   17| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.00 |      1.000|        178101 |109|FO| 1|62| 3| 1|01/01/2003|    11.944 |
|   18| SALOPETE DOC                             |   20001|   cos    |  NOU  |     178101.50 |      2.000|        356203 |109|FO| 1|64| 3| 1|01/01/2003|    11.944 |
|   19| APOMETRU                                 |   20002|   buc    |  NOU  |     217805.00 |      1.000|        217805 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|   20| APOMETRU                                 |   20002|   buc    |  NOU  |     217804.67 |      3.000|        653414 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|   21| JAMBIERI                                 |   20003|   per    |  NOU  |       2500.00 |      2.000|          5000 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|   22| JAMBIERI                                 |   20003|   per    |  NOU  |       2500.00 |      1.000|          2500 |109|FO| 1|59| 3| 1|01/01/2003|    11.944 |
|   23| SORTURI SUDOR                            |   20004|   buc    |  NOU  |      95333.50 |      2.000|        190667 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|   24| SORTURI SUDOR                            |   20004|   buc    |  NOU  |      95333.00 |      1.000|         95333 |109|FO| 1|59| 3| 1|01/01/2003|    11.944 |
|   25| CHIUVETA                                 |   20006|   buc    |  NOU  |      29880.40 |      5.000|        149402 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   26| CHIUVETA                                 |   20006|   buc    |  NOU  |      29880.25 |      4.000|        119521 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
