
      SITUATIA CU LOCURILE DE DISPUNERE UNDE SE AFLA OBIECTE DE INVENTAR


                                                                  pagina:   1
|----|----------------------|------|----------------------|-------------------|
|Crt.|      GESTIUNEA       |UZ/ST.|  LOCUL DE DISPUNERE  |    OBSERVATII     |
|----|----------------------|------|----------------------|-------------------|
|   1| L.M.P                | FOLO | L.M.P                |                   |
|----|----------------------|------|----------------------|-------------------|
|   2| APARATURA MEDICALA   | FOLO | AP.MED.DEPOZIT       |                   |
|----|----------------------|------|----------------------|-------------------|
|   3| APARATURA MEDICALA   | FOLO | AP.MED.STOMATOLOGIE  |                   |
|----|----------------------|------|----------------------|-------------------|
|   4| APARATURA MEDICALA   | FOLO | AP.MED.TEHNIC DENTAR |                   |
|----|----------------------|------|----------------------|-------------------|
|   5| APARATURA MEDICALA   | FOLO | AP.MED.CHIRURGIE     |                   |
|----|----------------------|------|----------------------|-------------------|
|   6| APARATURA MEDICALA   | FOLO | AP.MED.O.R.L.        |                   |
|----|----------------------|------|----------------------|-------------------|
|   7| APARATURA MEDICALA   | FOLO | AP.MED.RADIOLOGIE    |                   |
|----|----------------------|------|----------------------|-------------------|
|   8| APARATURA MEDICALA   | FOLO | AP.MED.OFTALMOLOGIE  |                   |
|----|----------------------|------|----------------------|-------------------|
|   9| APARATURA MEDICALA   | FOLO | AP.MED.A.T.I.        |                   |
|----|----------------------|------|----------------------|-------------------|
|  10| APARATURA MEDICALA   | FOLO | AP.MED.MEDICALA SPIT |                   |
|----|----------------------|------|----------------------|-------------------|
|  11| APARATURA MEDICALA   | FOLO | AP.MED.DERMATOLOGIE  |                   |
|----|----------------------|------|----------------------|-------------------|
|  12| APARATURA MEDICALA   | FOLO | AP.MED.PSIHIATRIE    |                   |
|----|----------------------|------|----------------------|-------------------|
|  13| APARATURA MEDICALA   | FOLO | AP.MED.CUSTODIE      |                   |
|----|----------------------|------|----------------------|-------------------|
|  14| APARATURA MEDICALA   | FOLO | AP.MED.MEDICALA POL. |                   |
|----|----------------------|------|----------------------|-------------------|
|  15| APARATURA MEDICALA   | FOLO | AP.MED.CHIRURGIE PO  |                   |
|----|----------------------|------|----------------------|-------------------|
|  16| APARATURA MEDICALA   | FOLO | AP.MED.CHIR PLASTIC  |                   |
|----|----------------------|------|----------------------|-------------------|
|  17| APARATURA MEDICALA   | FOLO | AP.MED.CARDIOLOGIE   |                   |
|----|----------------------|------|----------------------|-------------------|
|  18| APARATURA MEDICALA   | FOLO | AP.MED.ORL POL       |                   |
|----|----------------------|------|----------------------|-------------------|
|  19| APARATURA MEDICALA   | FOLO | AP.MED.ANGIOGRAF     |                   |
|----|----------------------|------|----------------------|-------------------|
|  20| APARATURA MEDICALA   | FOLO | AP.MED.ORTOPEDIE     |                   |
|----|----------------------|------|----------------------|-------------------|
|  21| APARATURA MEDICALA   | FOLO | AP.MED.TOMOGRAF      |                   |
|----|----------------------|------|----------------------|-------------------|
|  22| APARATURA MEDICALA   | FOLO | AP.MED.UROLOGIE      |                   |
|----|----------------------|------|----------------------|-------------------|
|  23| APARATURA MEDICALA   | FOLO | AP.MED.TRIAJ         |                   |
|----|----------------------|------|----------------------|-------------------|
|  24| APARATURA MEDICALA   | FOLO | AP.MED.U.P.U         |                   |
|----|----------------------|------|----------------------|-------------------|
|  25| APARATURA MEDICALA   | FOLO | AP.MED.NEUROLOGIE    |                   |
|----|----------------------|------|----------------------|-------------------|
|  26| CAZARMARE            | FOLO | CAZA.MEDICALA        |                   |
|----|----------------------|------|----------------------|-------------------|
|  27| CAZARMARE            | FOLO | CAZA.BLOC ALIMENTAR  |                   |
|----|----------------------|------|----------------------|-------------------|
|  28| CAZARMARE            | FOLO | CAZARM.PSIHIHIATRI   |                   |
|----|----------------------|------|----------------------|-------------------|

                                                                   23/01/2025                                                                  pagina:   2
|----|----------------------|------|----------------------|-------------------|
|Crt.|      GESTIUNEA       |UZ/ST.|  LOCUL DE DISPUNERE  |    OBSERVATII     |
|----|----------------------|------|----------------------|-------------------|
|  29| CAZARMARE            | FOLO | CAZARM.SPALATORIE    |                   |
|----|----------------------|------|----------------------|-------------------|
|  30| CAZARMARE            | FOLO | CAZARM.FARMACIE      |                   |
|----|----------------------|------|----------------------|-------------------|
|  31| CAZARMARE            | FOLO | CAZARM.ADMINISTRATIV |                   |
|----|----------------------|------|----------------------|-------------------|
|  32| CAZARMARE            | FOLO | CAZARM.CHIRURGIE     |                   |
|----|----------------------|------|----------------------|-------------------|
|  33| CAZARMARE            | FOLO | CAZARM.LABORATOR     |                   |
|----|----------------------|------|----------------------|-------------------|
|  34| CAZARMARE            | FOLO | CAZARM.ATELIER       |                   |
|----|----------------------|------|----------------------|-------------------|
|  35| CAZARMARE            | FOLO | CAZARM FORM. TRANSP. |                   |
|----|----------------------|------|----------------------|-------------------|
|  36| CAZARMARE            | FOLO | CAZARM.ATI           |                   |
|----|----------------------|------|----------------------|-------------------|
|  37| CAZARMARE            | FOLO | CAZARM.POLICLINICA   |                   |
|----|----------------------|------|----------------------|-------------------|
|  38| CAZARMARE            | FOLO | CAZARM. POL TGV      |                   |
|----|----------------------|------|----------------------|-------------------|
|  39| CAZARMARE            | FOLO | CAZARM.REFORMA       |                   |
|----|----------------------|------|----------------------|-------------------|
|  40| CAZARMARE            | FOLO | CAZ.DEPOZIT.ALIM.    |                   |
|----|----------------------|------|----------------------|-------------------|
|  41| POL.TIRGOVISTE       | FOLO | POL.TIRGV.           |                   |
|----|----------------------|------|----------------------|-------------------|
|  42| FARMACIE             | FOLO | FARMACIE DEPOZIT     |                   |
|----|----------------------|------|----------------------|-------------------|
|  43| LABORATOR SPITAL     | FOLO | LABORATOR SPIT.DEP   |                   |
|----|----------------------|------|----------------------|-------------------|
|  44|   R.A.M              | FOLO | R.A.M.               |                   |
|----|----------------------|------|----------------------|-------------------|
|  45|                      | FOLO | INFO/TRANSM.ADMINIST |                   |
|----|----------------------|------|----------------------|-------------------|
|  46| CAZARMARE/DOM.PUBLIC | FOLO | TERENURI             |                   |
|----|----------------------|------|----------------------|-------------------|
|  47| CAZARMARE/DOM.PUBLIC | FOLO | INSTALATII AMENAJARI |                   |
|----|----------------------|------|----------------------|-------------------|
|  48| CAZARMARE/DOM.PUBLIC | FOLO | CLADIRI              |                   |
|----|----------------------|------|----------------------|-------------------|
|  49| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANS.CENTR.TEL |                   |
|----|----------------------|------|----------------------|-------------------|
|  50| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.UPU      |                   |
|----|----------------------|------|----------------------|-------------------|
|  51| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.CHIR.PL. |                   |
|----|----------------------|------|----------------------|-------------------|
|  52| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.POL.TGV. |                   |
|----|----------------------|------|----------------------|-------------------|
|  53| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.POLI     |                   |
|----|----------------------|------|----------------------|-------------------|
|  54| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.CAZARM.  |                   |
|----|----------------------|------|----------------------|-------------------|
|  55| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.CHIRURG. |                   |
|----|----------------------|------|----------------------|-------------------|
|  56| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.FARMACIE |                   |
|----|----------------------|------|----------------------|-------------------|
|  57| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.LABORAT. |                   |
|----|----------------------|------|----------------------|-------------------|
|  58| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.MEDICALA |                   |
|----|----------------------|------|----------------------|-------------------|

                                                                   23/01/2025                                                                  pagina:   3
|----|----------------------|------|----------------------|-------------------|
|Crt.|      GESTIUNEA       |UZ/ST.|  LOCUL DE DISPUNERE  |    OBSERVATII     |
|----|----------------------|------|----------------------|-------------------|
|  59| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.OFTAMOL. |                   |
|----|----------------------|------|----------------------|-------------------|
|  60| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.ORL      |                   |
|----|----------------------|------|----------------------|-------------------|
|  61| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.RADIOLOG |                   |
|----|----------------------|------|----------------------|-------------------|
|  62| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.TRIAJ    |                   |
|----|----------------------|------|----------------------|-------------------|
|  63| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.PSIHI.   |                   |
|----|----------------------|------|----------------------|-------------------|
|  64| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.ATI      |                   |
|----|----------------------|------|----------------------|-------------------|
|  65| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.CARDIO.  |                   |
|----|----------------------|------|----------------------|-------------------|
|  66| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.ADMINIST |                   |
|----|----------------------|------|----------------------|-------------------|
|  67| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.DEPOZIT  |                   |
|----|----------------------|------|----------------------|-------------------|
|  68| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.NEURO    |                   |
|----|----------------------|------|----------------------|-------------------|
|  69| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.UROLOGIE |                   |
|----|----------------------|------|----------------------|-------------------|
|  70| INFORMAT/TRANSMIS.   | FOLO | INFO/TRANSM.ORTOPEDI |                   |
|----|----------------------|------|----------------------|-------------------|





































                                                                   23/01/2025